Business,L2 Category,L3 Category,Bet Category,Upgrade L1 Theme,Upgrade L2 Theme,Brand Name,SKU Name,Item Code,Exclusivity Type,"Validated for ""Upgrade"" Proposition",Include in Overall Tracking,Upgrade
New Comm,Jars Containers Ziplocks,Storage Containers for Fridge,Storage,International/Premium Storage Brands,,Lock & Lock,"LocknLock Food Storage Containers (Pack of 3, Glass, Heat Resistant, Leak Proof, LBG445+LBG428+LBG422)",696913,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Jars Containers Ziplocks,Airtight Jars,Storage,International/Premium Storage Brands,,Lock & Lock,"LocknLock Classic Food Storage Containers with Lid (2.6L, Pack of 2, Tall Square, Plastic, Leakproof, Airtight, Transparent, HPL822B)",356918,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Jars Containers Ziplocks,Storage Containers for Fridge,Storage,International/Premium Storage Brands,,Lock & Lock,"LocknLock Food Storage Container with Lid (1.4L, Square, Glass, Airtight)",141974,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Jars Containers Ziplocks,Storage Containers for Fridge,Storage,International/Premium Storage Brands,,Lock & Lock,"LocknLock Food Storage Container (2.1L, Tritan, 70210)",431253,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Jars Containers Ziplocks,Airtight Jars,Storage,International/Premium Storage Brands,,Lock & Lock,"Lock & Lock Classics Square Plastic Airtight Food Storage Containers with Leak Proof Lid (4L, Pack of 2, Transparent)",843178,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Jars Containers Ziplocks,Storage Containers for Fridge,Storage,International/Premium Storage Brands,,Lock & Lock,"LocknLock Food Storage Container with Lid (2L, Rectangle, Glass, Airtight)",672285,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Jars Containers Ziplocks,Airtight Jars,Storage,International/Premium Storage Brands,,Lock & Lock,"LocknLock Sorta Premium Food Containers with Lids (140ml, Pack of 3, Tritan, Airtight)",785367,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Jars Containers Ziplocks,Airtight Jars,Storage,International/Premium Storage Brands,,Lock & Lock,"LocknLock Sorta Premium Food Containers with Lids (120ml, Pack of 4, Tritan, Airtight)",384849,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Jars Containers Ziplocks,Storage Containers,Storage,International/Premium Storage Brands,,Lock & Lock,"LocknLock Euro Food Storage Container (380ml, Round, Glass, Bake and Store, Transparent)",727285,Level 3: Complete SKU Exclusivity,Yes,Yes,True
New Comm,Jars Containers Ziplocks,Storage Containers,Storage,International/Premium Storage Brands,,Lock & Lock,"LocknLock Euro Food Storage Containers (380ml, Pack of 2, Square, Glass, Heat Resistant, Airtight, Transparent, LLG821)",439531,Level 3: Complete SKU Exclusivity,Yes,Yes,True
